,open,high,low,close,volume
28/02/2025,408.51,409.37,386.57,396.99,129423076
21/02/2025,408,419.31,406.5,408.21,96570775
14/02/2025,413.71,415.4624,404.3673,408.43,104730440
07/02/2025,411.6,418.65,408.1,409.75,101744032
31/01/2025,424.01,448.38,413.16,415.06,171530526
24/01/2025,430.2,447.27,425.595,444.06,87828237
17/01/2025,415.235,434.48,410.72,429.03,95676004
10/01/2025,428,434.32,415.02,418.95,73968420
03/01/2025,426.06,427.55,414.85,423.35,59964624
27/12/2024,436.74,440.94,426.35,430.53,52634702
20/12/2024,447.27,455.29,428.63,436.6,158004248
13/12/2024,442.6,456.1648,440.5,447.27,97826667
06/12/2024,421.57,446.1,421.31,443.57,105037416
29/11/2024,418.38,429.0414,414.85,423.46,85754344
22/11/2024,414.87,419.78,410.2887,417,107661985
15/11/2024,422.515,429.325,413.64,415,123901235
08/11/2024,409.8,426.85,405.5713,422.54,100773335
01/11/2024,431.655,438.5,406.3,410.37,140477096
25/10/2024,416.12,432.52,413.7501,428.15,89823386
18/10/2024,417.77,424.04,410.48,418.16,83027540
11/10/2024,416,420.38,408.17,416.32,83116599
04/10/2024,428.21,430.42,414.29,416.06,85407142
27/09/2024,434.28,436.46,426.1,428.02,74929184
20/09/2024,430.6,441.85,428.22,435.27,128480635
13/09/2024,407.24,431.83,402.15,430.59,87449658
06/09/2024,417.91,419.88,400.8,401.7,69005355
30/08/2024,416.365,422.05,407.31,417.14,82881966
23/08/2024,418.96,426.7899,412.09,416.79,85544521
16/08/2024,407.06,421.34,404.2434,418.47,97971871
09/08/2024,389.17,410.08,385.58,406.02,125786365
02/08/2024,431.58,432.15,404.34,408.49,150439080
26/07/2024,441.79,448.39,417.27,425.27,109249239
19/07/2024,453.3,457.26,432,437.11,95094386
12/07/2024,466.55,467.7,450.645,453.55,87822377
05/07/2024,448.66,468.35,445.66,467.56,57575717
28/06/2024,449.8,456.17,446.41,446.95,92336873
21/06/2024,442.585,450.94,440.72,449.78,92266084
14/06/2024,424.7,443.4,423.89,442.57,80462918
07/06/2024,415.525,426.28,408.9234,423.85,77304531
31/05/2024,429.63,430.94,404.51,415.13,107655251
24/05/2024,420.21,433.6,419.99,430.16,84866064
17/05/2024,418.01,425.42,410.82,420.21,85671354
10/05/2024,408.76,415.38,406.3701,414.74,76899183
03/05/2024,405.25,407.15,389.17,406.66,107082034
26/04/2024,400.08,413,388.03,406.32,121367810
19/04/2024,426.6,426.82,397.77,399.12,104490345
12/04/2024,425.17,429.37,419.7,421.9,80153656
05/04/2024,423.95,428.67,417.57,425.52,85744235
28/03/2024,425.24,427.41,419.01,420.72,73362236
22/03/2024,414.25,430.82,413.78,428.74,96748672
15/03/2024,403.76,427.82,401.26,416.42,133587381
08/03/2024,413.44,417.35,398.39,406.22,103579947
01/03/2024,411.455,415.87,403.85,415.5,93983165
