date,open,high,low,close,volume
28/02/2025 19:55,396.645,396.79,396.3,396.3,2394
28/02/2025 19:50,396.65,396.8,396.5,396.645,874
28/02/2025 19:45,396.8,396.83,396.5,396.6,318
28/02/2025 19:40,396.665,396.83,396.5082,396.67,405
28/02/2025 19:35,396.5141,396.8988,396.5,396.7,488
28/02/2025 19:30,396.7,396.85,396.5,396.8499,532
28/02/2025 19:25,396.8,396.8413,396.3,396.5,2182
28/02/2025 19:20,396.78,396.85,396.5,396.6767,401
28/02/2025 19:15,396.64,396.92,396.5,396.9,623
28/02/2025 19:10,396.6,396.78,396.507,396.78,677
28/02/2025 19:05,396.65,396.78,396.5,396.64,283
28/02/2025 19:00,396.69,396.78,396.5,396.64,572
28/02/2025 18:55,396.78,396.78,396.5,396.6,373
28/02/2025 18:50,396.78,396.78,396.6501,396.7,642
28/02/2025 18:45,396.69,396.78,396.5,396.6,1059
28/02/2025 18:40,396.6,396.78,396.6,396.65,426
28/02/2025 18:35,396.66,396.78,396.5,396.6008,1423
28/02/2025 18:30,396.63,396.78,396.5,396.58,1617
28/02/2025 18:25,396.74,396.78,396.63,396.7,1946
28/02/2025 18:20,396.78,396.78,396.63,396.74,1696
28/02/2025 18:15,396.75,396.88,396.63,396.755,167
28/02/2025 18:10,396.7,396.88,396.5,396.79,450
28/02/2025 18:05,396.65,396.88,396.5,396.79,370
28/02/2025 18:00,396.95,396.95,396.5,396.73,651
28/02/2025 17:55,396.7,396.9388,396.5,396.9388,700
28/02/2025 17:50,396.7,396.9,396.5,396.5,319
28/02/2025 17:45,396.648,396.95,396.5,396.79,540
28/02/2025 17:40,396.76,396.95,396.5,396.9388,303
28/02/2025 17:35,396.805,396.95,396.72,396.76,766
28/02/2025 17:30,396.65,396.95,396.5,396.81,1404
28/02/2025 17:25,396.72,396.95,396.5,396.65,574
28/02/2025 17:20,396.72,401.9548,372.5619,396.72,1658
28/02/2025 17:15,396.725,414.6998,369.3664,369.3664,1977
28/02/2025 17:10,396.5,417.4114,371.515,396.88,7488
28/02/2025 17:05,396.92,417.4114,372.5619,396.94,6981
28/02/2025 17:00,396.79,396.96,371.515,389.6982,6232
28/02/2025 16:55,396.54,408.85,374.5025,396.96,49552
28/02/2025 16:50,396.54,396.78,396.25,396.3,1666
28/02/2025 16:45,396.475,396.78,396.2632,396.49,5080
28/02/2025 16:40,396.47,396.65,396.3,396.34,1609
28/02/2025 16:35,396.49,397.0039,396.26,396.6315,412967
28/02/2025 16:30,396.26,396.99,396.26,396.32,119276
28/02/2025 16:25,396.36,397.0337,396.26,396.2615,116250
28/02/2025 16:20,396.35,397.0376,396.25,396.4,4856
28/02/2025 16:15,396.99,396.99,396.25,396.25,198135
28/02/2025 16:10,396.465,396.99,394.9041,396.3912,23547
28/02/2025 16:05,396.3,396.99,395.85,396.37,622561
28/02/2025 16:00,397.03,404.735,396.11,396.255,21260925
28/02/2025 15:55,396.09,397.63,396.05,397.1425,2057284
28/02/2025 15:50,393.615,396.36,393.52,396.06,1096406
28/02/2025 15:45,393.015,393.7,392.86,393.569,217298
28/02/2025 15:40,392.53,393.29,392.52,392.9896,194644
